Date;MeanTemp;Max;Min
11.04.2020;10.3;11;9.5
10.04.2020;10.3;10.9;9.6
09.04.2020;10;10.6;9.3
08.04.2020;10.1;11;9.4
07.04.2020;9.8;11.1;9
06.04.2020;9;9.5;8.4
05.04.2020;8.3;9.1;7.5
04.04.2020;8.5;10;7.7
03.04.2020;8.8;8.8;8.7
02.04.2020;7.8;7.9;7.8
01.04.2020;7;7.1;6.9
31.03.2020;5.7;5.8;5.7
30.03.2020;6.2;6.2;6.2
29.03.2020;7.2;7.2;7.2
28.03.2020;6.9;8;6.3
27.03.2020;5.8;7.3;4.7
26.03.2020;5.2;6;4.5
25.03.2020;5.4;6.1;4.7
24.03.2020;5.4;6.1;4.6
23.03.2020;5.6;6.3;4.9
22.03.2020;6.6;7.2;6.2
21.03.2020;8;9.2;7.2
20.03.2020;8.3;9.2;7.3
19.03.2020;8;9.1;7
18.03.2020;7.4;8.5;6.5
17.03.2020;7.2;8;6.3
16.03.2020;6.9;8;5.8
15.03.2020;6.1;7.2;5.1
14.03.2020;6.1;7;5.4
13.03.2020;6.9;7.4;6.5
12.03.2020;6.7;7.2;6.2
11.03.2020;6.2;6.9;5.6
10.03.2020;5.8;6.6;5.5
09.03.2020;6.2;6.8;5.8
08.03.2020;5.5;6.2;5
07.03.2020;5.7;6;5.3
06.03.2020;5.7;6.1;5.3
05.03.2020;5.7;6.4;5
04.03.2020;5.9;6.4;5.3
03.03.2020;6.4;6.9;5.9
02.03.2020;6.3;7.2;5.7
01.03.2020;6;7;5.4
29.02.2020;5.1;6;4.5
28.02.2020;4.7;5.3;4.3
27.02.2020;5.2;5.9;4.6
26.02.2020;5.4;5.8;5.1
25.02.2020;5.9;6.9;5.5
24.02.2020;6.8;7.2;6.6
23.02.2020;6.1;6.8;5.7
22.02.2020;5.5;6.2;4.8
21.02.2020;5.1;5.8;4.6
20.02.2020;4.8;5.3;4.3
19.02.2020;5.5;6.2;5.1
18.02.2020;6.1;6.9;5.7
17.02.2020;6;6.8;5.3
16.02.2020;5.2;5.9;4.6
15.02.2020;5.2;5.9;4.7
14.02.2020;5.5;6.2;4.8
13.02.2020;4.6;5.3;4.2
12.02.2020;4.4;5.3;4.3
11.02.2020;5.3;6;5
10.02.2020;5.3;5.9;4.8
09.02.2020;4.4;5.1;3.8
08.02.2020;4.2;4.7;3.6
07.02.2020;4.3;5;3.7
06.02.2020;4.5;5.2;3.9
05.02.2020;4.6;5;4.2
04.02.2020;5.1;5.6;4.7
03.02.2020;6.4;6.9;5.6
02.02.2020;6.4;6.7;6
01.02.2020;6.1;6.6;5.8
31.01.2020;5.7;6.2;4.9
30.01.2020;4.8;5.4;4.4
29.01.2020;4.6;5;4.5
28.01.2020;5.2;5.7;4.7
27.01.2020;5.5;6.6;4.8
26.01.2020;4.6;4.8;4.4
25.01.2020;4.3;4.9;4
24.01.2020;4.7;5.2;4.3
23.01.2020;4.3;4.7;4
22.01.2020;4.2;4.4;3.9
21.01.2020;4.4;4.7;4.2
20.01.2020;4.8;5.3;4.5
19.01.2020;5.3;5.6;4.9
18.01.2020;5.3;5.4;5.1
17.01.2020;5.1;5.7;4.7
16.01.2020;5;5.8;4.2
15.01.2020;4.3;5.1;4
14.01.2020;4;4.3;3.9
13.01.2020;4.6;5.1;4
12.01.2020;5;5.8;4.7
11.01.2020;5.4;5.5;5.3
10.01.2020;5.2;6;4.9
09.01.2020;5;5.4;4.8
08.01.2020;4.6;5.2;4.4
07.01.2020;4.6;5;4.4
06.01.2020;4.7;5.2;4.5
05.01.2020;5.3;5.5;5.2
04.01.2020;5.1;5.3;4.5
03.01.2020;4.1;4.5;3.9
02.01.2020;4.1;4.4;3.8
01.01.2020;4.3;4.7;4
31.12.2019;4.4;4.6;4
30.12.2019;4.1;4.5;3.7
29.12.2019;4.6;5;4.4
28.12.2019;5.4;5.9;5.1
27.12.2019;5.8;5.9;5.6
26.12.2019;5.9;6.1;5.7
25.12.2019;6;6.1;5.8
24.12.2019;6.1;6.4;5.8
23.12.2019;6;6.3;5.9
22.12.2019;6.1;6.8;5.9
21.12.2019;6.4;6.9;6.1
20.12.2019;6;6.5;5.8
19.12.2019;6.6;7;6.3
18.12.2019;6.8;7.2;6.3
17.12.2019;5.9;6.6;5.5
16.12.2019;6;6.3;5.6
15.12.2019;6;6.3;5.5
14.12.2019;5.4;5.6;5.2
13.12.2019;5.4;5.5;5.3
12.12.2019;5.6;5.8;5.2
11.12.2019;5.7;6.1;5.2
10.12.2019;6.5;7.1;6
09.12.2019;6.7;7.3;6.4
08.12.2019;6.3;6.4;6.2
07.12.2019;5.8;6.3;5.2
06.12.2019;5.3;5.7;5
05.12.2019;5.3;5.8;5
04.12.2019;5.9;6.2;5.4
03.12.2019;6.2;6.8;5.7
02.12.2019;6.4;7;6.2
01.12.2019;6.4;7.4;6.1
30.11.2019;7.4;7.8;7
29.11.2019;7.9;8.1;7.7
28.11.2019;7.8;8.4;7.5
27.11.2019;7.7;8.1;7.4
26.11.2019;8;8.1;7.7
25.11.2019;8.1;8.4;7.7
24.11.2019;7.5;8;7.1
23.11.2019;7.5;8.1;7.2
22.11.2019;8.1;8.4;8
21.11.2019;8.1;8.5;7.9
20.11.2019;7.8;8.1;7.5
19.11.2019;7.7;7.9;7.5
18.11.2019;7.9;8.1;7.7
17.11.2019;7.9;8.2;7.8
16.11.2019;7.7;8;7.5
15.11.2019;7.5;8.1;6.9
14.11.2019;7.8;8.3;7.3
13.11.2019;8.4;8.7;8.1
12.11.2019;8.3;8.6;8.1
11.11.2019;8.1;8.4;7.9
10.11.2019;8.5;9.1;8.1
09.11.2019;9.3;9.5;9.1
08.11.2019;9.9;10.5;9.5
07.11.2019;9.8;10.5;9.2
06.11.2019;9.9;10.6;9.7
05.11.2019;10.9;11.6;10.6
04.11.2019;11.2;11.4;10.8
03.11.2019;11.3;11.8;11
02.11.2019;11.3;11.8;11
01.11.2019;10.4;11.1;9.7
31.10.2019;10.3;10.8;9.9
30.10.2019;11.4;12.1;10.8
29.10.2019;12.2;12.5;12
28.10.2019;12.4;12.9;12.1
27.10.2019;12.1;12.5;11.9
26.10.2019;12.1;12.6;11.8
25.10.2019;12.3;12.7;12.1
24.10.2019;12.9;13.5;12.3
23.10.2019;13.3;13.8;12.5
22.10.2019;13;13.5;12.3
21.10.2019;12.7;13.2;12.1
20.10.2019;12;12.3;11.7
19.10.2019;12.4;12.9;12.1
18.10.2019;12.3;12.9;11.4
17.10.2019;12.5;13.4;11.5
16.10.2019;12.8;13.4;12.1
15.10.2019;12.8;13.8;11.9
14.10.2019;12.9;13.7;12
13.10.2019;12.3;13.4;11.4
12.10.2019;11.9;12.8;11
11.10.2019;11.7;12.5;11.1
