Date;airTemperature;waterTemperature
2020-06-04 02:00:00;13.0;16.8
2020-06-04 04:00:00;12.7;16.9
2020-06-04 06:00:00;14.1;16.7
2020-06-04 08:00:00;16.8;16.7
2020-06-04 10:00:00;17.4;16.8
2020-06-04 12:00:00;17.7;16.8
2020-06-04 14:00:00;18.9;17.1
2020-06-04 16:00:00;18.5;16.9
2020-06-04 18:00:00;15.8;16.7
2020-06-04 20:00:00;14.7;16.3
2020-06-04 22:00:00;13.2;16.1
2020-06-07 02:00:00;12.4;15.6
2020-06-07 04:00:00;12.4;14.7
2020-06-07 06:00:00;11.7;14.6
2020-06-07 08:00:00;12.8;14.6
2020-06-07 10:00:00;12.7;14.6
2020-06-07 12:00:00;12.6;14.5
2020-06-07 14:00:00;11.9;14.4
2020-06-07 16:00:00;10.6;14.2
