STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       1262;19920517;-999;-999;-999;   10;   0.0;   0;   10.600;   0;   2.3;   9.7;  973.50;   15.6;   53.00;   22.2;   13.5;   13.0;eor
       1262;19920518;-999;-999;-999;   10;   0.0;   0;   12.300;   0;   2.7;   9.0;  970.90;   13.4;   58.00;   19.1;    6.4;    5.9;eor
       1262;19920519;    3;  14.8;-999;   10;   0.0;   0;   11.700;   0;   1.0;   9.5;  971.20;   13.2;   62.00;   18.2;    6.4;    6.4;eor
       1262;19920520;    3;  18.2;   7.8;   10;   0.0;   0;   13.100;   0;   0.7;   8.7;  967.80;   14.9;   50.00;   20.3;    9.7;    9.3;eor
       1262;19920521;    3;  10.0;   3.2;   10;   0.0;   6;    8.700;   0;   2.7;   9.5;  965.70;   12.4;   63.00;   20.5;    7.7;    7.0;eor
       1262;19920522;    3;   8.7;   2.7;   10;   0.0;   0;   13.300;   0;   5.0;   9.0;  964.10;   16.1;   52.00;   22.0;    4.5;    4.3;eor
       1262;19920523;    3;  13.4;   4.9;   10;   0.0;   0;   10.900;   0;   3.0;  11.4;  961.20;   17.9;   55.00;   24.5;   10.1;   10.0;eor
       1262;19920524;    3;  16.1;   2.3;   10;   0.4;   6;    6.400;   0;   4.3;  12.1;  962.50;   15.5;   67.00;   23.5;   10.4;   10.6;eor
       1262;19920525;    3;   8.3;   1.9;   10;   0.0;   0;   13.300;   0;   2.0;  12.6;  965.20;   17.9;   61.00;   24.7;    8.1;    7.5;eor
       1262;19920526;    3;  11.7;-999;   10;   0.0;   0;   12.100;   0;   2.0;   9.0;  962.90;   17.4;   46.00;   23.1;    8.3;    8.1;eor
       1262;19920527;    3;   8.5;-999;   10;   0.0;   0;   12.600;   0;   5.0;   9.2;  962.00;   16.4;   49.00;   22.5;    9.4;    9.6;eor
       1262;19920528;-999;-999;-999;   10;   0.0;   0;   12.900;   0;   0.7;   9.3;  963.30;   16.0;   50.00;   21.4;    8.0;    8.0;eor
       1262;19920529;    3;  10.3;   2.8;   10;   0.0;   0;    9.900;   0;   4.3;   9.6;  961.00;   16.7;   52.00;   22.9;    5.6;    5.4;eor
       1262;19920530;    3;   9.0;   3.1;   10;   0.0;   0;   11.900;   0;   5.0;   9.5;  963.50;   16.2;   52.00;   22.4;    9.6;    9.6;eor
       1262;19920531;    3;  10.9;   3.4;   10;   0.0;   6;    9.400;   0;   5.7;  11.0;  960.50;   19.0;   51.00;   23.4;    8.6;    8.9;eor
       1262;19920601;    3;   2.9;-999;   10;   0.0;   0;    6.800;   0;   2.7;  14.2;  957.80;   19.8;   61.00;   25.8;   13.6;   13.8;eor
       1262;19920602;-999;-999;-999;   10;   0.0;   6;    6.200;   0;   4.7;  15.0;  955.00;   20.4;   64.00;   29.1;   12.9;   13.2;eor
       1262;19920603;    3;  15.7;-999;   10;  15.3;   8;    1.000;   0;   7.7;  15.8;  958.40;   15.8;   84.00;   20.5;   13.6;   15.6;eor
       1262;19920604;    3;  11.2;   4.3;   10;   0.0;   6;    4.900;   0;   6.0;  13.6;  960.50;   16.9;   70.00;   21.9;   13.5;   12.7;eor
       1262;19920605;    3;  18.8;   3.4;   10;  12.2;   6;    4.300;   0;   6.7;  14.2;  958.00;   15.7;   77.00;   23.7;   11.9;   11.6;eor
       1262;19920606;    3;   7.9;   2.6;   10;   0.0;   6;    5.800;   0;   6.3;  12.3;  960.70;   15.5;   70.00;   19.6;    9.7;    8.9;eor
       1262;19920607;    3;   8.1;   2.8;   10;   0.0;   6;   10.100;   0;   3.3;  11.6;  958.40;   15.5;   66.00;   21.0;   10.8;    9.7;eor
       1262;19920608;    3;  10.3;   2.8;   10;   0.0;   6;    0.300;   0;   7.0;  12.8;  954.20;   14.3;   78.00;   17.5;   10.9;   10.1;eor
       1262;19920609;    3;   8.4;   3.2;   10;   0.0;   6;    1.400;   0;   5.7;  13.1;  957.90;   14.2;   80.00;   18.7;   12.5;   12.6;eor
       1262;19920610;    3;  12.2;   2.4;   10;   0.2;   6;    2.900;   0;   7.0;  12.9;  958.10;   13.7;   80.00;   20.1;    9.9;    9.0;eor
       1262;19920611;    3;   7.0;   2.0;   10;   0.1;   6;    5.400;   0;   5.3;  12.2;  959.10;   14.0;   76.00;   18.8;    7.7;    6.3;eor
       1262;19920612;    3;  10.2;   1.9;   10;   1.2;   6;    0.100;   0;   7.3;  13.2;  961.00;   14.8;   79.00;   17.8;   11.1;   10.7;eor
       1262;19920613;    3;   5.0;-999;   10;   0.0;   6;    4.300;   0;   5.3;  15.0;  964.20;   15.2;   86.00;   22.5;   12.9;   12.6;eor
       1262;19920614;-999;-999;-999;   10;   0.0;   0;    7.100;   0;   5.7;  13.4;  970.50;   16.6;   71.00;   22.3;   11.0;   10.0;eor
       1262;19920615;-999;-999;-999;   10;   0.0;   0;   11.900;   0;   1.7;  12.8;  968.60;   18.6;   61.00;   24.5;    8.7;    7.5;eor
       1262;19920616;-999;-999;-999;   10;   0.0;   0;    9.000;   0;   3.3;  15.2;  964.50;   20.0;   65.00;   24.7;   10.9;    9.3;eor
       1262;19920617;-999;-999;-999;   10;   0.0;   6;    0.500;   0;   7.0;  14.8;  966.50;   17.8;   70.00;   20.3;   15.4;   13.4;eor
       1262;19920618;    3;   7.8;   1.8;   10;   0.0;   0;   10.100;   0;   3.0;  11.2;  961.30;   16.9;   58.00;   22.5;   10.3;    7.7;eor
       1262;19920619;    3;   8.3;   3.3;   10;   0.0;   6;    0.000;   0;   7.7;  13.1;  959.80;   12.6;   88.00;   15.7;   11.6;   10.7;eor
       1262;19920620;    3;   8.3;   2.8;   10;   0.0;   6;    6.100;   0;   3.7;  15.8;  961.00;   17.9;   79.00;   24.2;   11.4;   11.7;eor
       1262;19920621;    3;  10.3;   3.5;   10;   0.0;   0;    4.400;   0;   6.3;  14.0;  964.90;   17.4;   71.00;   21.8;   13.9;   13.5;eor
       1262;19920622;    3;   8.1;   2.6;   10;   0.0;   0;    8.000;   0;   6.7;  15.4;  960.70;   19.6;   67.00;   23.8;   12.9;   11.7;eor
       1262;19920623;    3;  24.1;   2.6;   10;  11.9;   6;    3.500;   0;   7.0;  16.6;  955.20;   19.2;   74.00;   27.0;   13.9;   12.6;eor
